Program,Role,District,QuestionId,MetricName,CorrectCount,TotalRespondents,AccuracyPct
CLSS,Participant,Agar Malwa,96,96_Correct,165.0,239.0,69.04
CLSS,Participant,Alirajpur,96,96_Correct,210.0,339.0,61.95
CLSS,Participant,Anuppur,96,96_Correct,193.0,278.0,69.42
CLSS,Participant,Ashoknagar,96,96_Correct,223.0,347.0,64.27
CLSS,Participant,Balaghat,96,96_Correct,496.0,802.0,61.85
CLSS,Participant,Barwani,96,96_Correct,315.0,565.0,55.75
CLSS,Participant,Betul,96,96_Correct,577.0,951.0,60.67
CLSS,Participant,Bhind,96,96_Correct,356.0,637.0,55.89
CLSS,Participant,Bhopal,96,96_Correct,198.0,321.0,61.68
CLSS,Participant,Burhanpur,96,96_Correct,82.0,147.0,55.78
CLSS,Participant,Chhatarpur,96,96_Correct,446.0,720.0,61.94
CLSS,Participant,Chhindwara,96,96_Correct,563.0,863.0,65.24
CLSS,Participant,Damoh,96,96_Correct,211.0,374.0,56.42
CLSS,Participant,Datia,96,96_Correct,204.0,338.0,60.36
CLSS,Participant,Dewas,96,96_Correct,0.0,1.0,0.0
CLSS,Participant,Dhar,96,96_Correct,475.0,839.0,56.62
CLSS,Participant,Dindori,96,96_Correct,193.0,310.0,62.26
CLSS,Participant,Guna,96,96_Correct,244.0,404.0,60.4
CLSS,Participant,Gwalior,96,96_Correct,310.0,527.0,58.82
CLSS,Participant,Harda,96,96_Correct,144.0,220.0,65.45
CLSS,Participant,Indore,96,96_Correct,314.0,459.0,68.41
CLSS,Participant,Jabalpur,96,96_Correct,240.0,410.0,58.54
CLSS,Participant,Jhabua,96,96_Correct,280.0,478.0,58.58
CLSS,Participant,Katni,96,96_Correct,271.0,435.0,62.3
CLSS,Participant,Khandwa,96,96_Correct,273.0,423.0,64.54
CLSS,Participant,Khargone,96,96_Correct,241.0,416.0,57.93
CLSS,Participant,Mandla,96,96_Correct,368.0,624.0,58.97
CLSS,Participant,Mandsaur,96,96_Correct,348.0,550.0,63.27
CLSS,Participant,Morena,96,96_Correct,458.0,731.0,62.65
CLSS,Participant,Narmadapuram,96,96_Correct,385.0,585.0,65.81
CLSS,Participant,Narsinghpur,96,96_Correct,307.0,471.0,65.18
CLSS,Participant,Neemuch,96,96_Correct,216.0,340.0,63.53
CLSS,Participant,Niwari,96,96_Correct,74.0,143.0,51.75
CLSS,Participant,Panna,96,96_Correct,395.0,614.0,64.33
